category,trait,sub_area,question_text,reverse_scored,weight,test_type,age_group
psychology_self_awareness,reflection,thought_pattern,I often pause to reflect on why I reacted emotionally in a situation,false,1,deep,18-60
psychology_self_awareness,reflection,thought_pattern,I rarely think about the deeper reasons behind my decisions,true,1,deep,18-60
psychology_self_awareness,reflection,thought_pattern,I try to understand my strengths and weaknesses regularly,false,1,deep,18-60
psychology_self_awareness,reflection,thought_pattern,I avoid thinking about mistakes I made in the past,true,1,deep,18-60
psychology_self_awareness,reflection,thought_pattern,I analyze my reactions to learn from experiences,false,1,deep,18-60
psychology_self_awareness,reflection,thought_pattern,I struggle to identify what motivates me,true,1,deep,18-60
psychology_self_awareness,reflection,thought_pattern,I try to understand how my actions affect others,false,1,deep,18-60
psychology_self_awareness,reflection,thought_pattern,I often act without thinking about consequences,true,1,deep,18-60
psychology_self_awareness,reflection,thought_pattern,I am aware of patterns in my own behavior,false,1,deep,18-60
psychology_self_awareness,reflection,thought_pattern,I find it difficult to describe my personality,true,1,deep,18-60
personality_confidence,self_belief,decision_behavior,I feel confident expressing my ideas in discussions,false,1,rapid,18-60
personality_confidence,self_belief,decision_behavior,I hesitate to share my opinions even when I believe they are valid,true,1,rapid,18-60
personality_confidence,self_belief,decision_behavior,I believe I can achieve difficult goals with effort,false,1,rapid,18-60
personality_confidence,self_belief,decision_behavior,I doubt my abilities even when others trust me,true,1,rapid,18-60
personality_confidence,self_belief,decision_behavior,I feel capable of learning new skills when required,false,1,rapid,18-60
personality_confidence,self_belief,decision_behavior,I avoid challenging opportunities because I might fail,true,1,rapid,18-60
personality_confidence,self_belief,decision_behavior,I remain confident even when facing criticism,false,1,rapid,18-60
personality_confidence,self_belief,decision_behavior,I worry that others are more capable than me,true,1,rapid,18-60
personality_confidence,self_belief,decision_behavior,I believe persistence leads to success,false,1,rapid,18-60
personality_confidence,self_belief,decision_behavior,I often feel unprepared for new responsibilities,true,1,rapid,18-60
stress_resilience,stress_response,emotional_regulation,I remain calm when unexpected problems occur,false,1,deep,18-60
stress_resilience,stress_response,emotional_regulation,I feel overwhelmed when several tasks demand attention,true,1,deep,18-60
stress_resilience,stress_response,emotional_regulation,I recover quickly after facing setbacks,false,1,deep,18-60
